,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,title,authors,firstAuthor,date,category,citationNumber,hIndex,impact,eid,authorEid
583,583,583,583,Real-time multidimensional NMR follows RNA folding with second resolution,Mi-Kyung Lee; Maayan Gal; Lucio Frydman; and Gabriele Varani,Mi-Kyung Lee,May 18; 2010 ,Biophysics and Computational Biology,73.0,6,"(0, 0, 0)",2-s2.0-77952700860,57203337067
584,584,584,584,Insights into protein folding mechanisms from large scale analysis of mutational effects,Athi N. Naganathan and Victor Muñoz,Athi N. Naganathan,May 11; 2010 ,Biophysics and Computational Biology,67.0,18,"(137, 4, 34.25)",2-s2.0-77952730001,6504519433
585,585,585,585,Structural study of TcaR and its complexes with multiple antibiotics from Staphylococcus epidermidis,Yu-Ming Chang; Wen-Yih Jeng; Tzu-Ping Ko; Yao-Jen Yeh; Cammy K.-M. Chen; and Andrew H.-J. Wang,Yu-Ming Chang,May 11; 2010 ,Biophysics and Computational Biology,39.0,6,"(0, 0, 0)",2-s2.0-77952676836,57013651000
586,586,586,586,Global characteristics of protein sequences and their implications,S. Rackovsky,S. Rackovsky,May 11; 2010 ,Biophysics and Computational Biology,10.0,26,"(36, 2, 18.0)",2-s2.0-77952677189,7003973319
587,587,587,587,Costs and constraints from time-delayed feedback in small gene regulatory motifs,Andreas Grönlund; Per Lötstedt; and Johan Elf,Andreas Grönlund,May 4; 2010 ,Biophysics and Computational Biology,12.0,10,"(76, 4, 19.0)",2-s2.0-77952376060,8507306700
588,588,588,588,Semiautomated model building for RNA crystallography using a directed rotameric approach,Kevin S. Keating and Anna Marie Pyle,Kevin S. Keating,May 4; 2010 ,Biophysics and Computational Biology,35.0,13,"(653, 7, 93.28571428571429)",2-s2.0-77952352777,35361856800
589,589,589,589,Net charge per residue modulates conformational ensembles of intrinsically disordered proteins,Albert H. Mao; Scott L. Crick; Andreas Vitalis; Caitlin L. Chicoine; and Rohit V. Pappu,Albert H. Mao,May 4; 2010 ,Biophysics and Computational Biology,226.0,6,"(142, 1, 142.0)",2-s2.0-77952335311,24344893200
590,590,590,590,Experimental detection of knotted conformations in denatured proteins,Anna L. Mallam; Joseph M. Rogers; and Sophie E. Jackson,Anna L. Mallam,May 4; 2010 ,Biophysics and Computational Biology,64.0,13,"(163, 5, 32.6)",2-s2.0-77952415889,6506743630
591,591,591,591,Potential and flux landscapes quantify the stability and robustness of budding yeast cell cycle network,Jin Wang; Chunhe Li; and Erkang Wang,Jin Wang,May 4; 2010 ,Biophysics and Computational Biology,46.0,43,"(839, 24, 34.958333333333336)",2-s2.0-77952334362,56169066800
592,592,592,592,Phosphorylation-induced structural changes in smooth muscle myosin regulatory light chain,David Kast; L. Michel Espinoza-Fonseca; Christina Yi; and David D. Thomas,David Kast,May 4; 2010 ,Biophysics and Computational Biology,51.0,11,"(39, 1, 39.0)",2-s2.0-77952395653,21742361300
593,593,593,593,Understanding gastric forces calculated from high-resolution pill tracking,Bryan Laulicht; Anubhav Tripathi; Vincent Schlageter; Pavel Kucera; and Edith Mathiowitz,Bryan Laulicht,May 4; 2010 ,Biophysics and Computational Biology,18.0,6,"(29, 2, 14.5)",2-s2.0-77952388555,14619453100
594,594,594,594,Coupling a sensory hair-cell bundle to cyber clones enhances nonlinear amplification,Jérémie Barral; Kai Dierkes; Benjamin Lindner; Frank Jülicher; and Pascal Martin,Jérémie Barral,May 4; 2010 ,Biophysics and Computational Biology,28.0,7,"(0, 0, 0)",2-s2.0-77953816914,35080015400
595,595,595,595,Bovine cytochrome c oxidase structures enable O2 reduction with minimization of reactive oxygens and provide a proton-pumping gate,Kazumasa Muramoto; Kazuhiro Ohta; Kyoko Shinzawa-Itoh; Katsumasa Kanda; Maki Taniguchi; Hiroyuki Nabekura; Eiki Yamashita; Tomitake Tsukihara; and Shinya Yoshikawa,Kazumasa Muramoto,April 27; 2010 ,Biophysics and Computational Biology,75.0,13,"(86, 1, 86.0)",2-s2.0-77952331283,7102029371
596,596,596,596,Contribution of the myosin VI tail domain to processive stepping and intramolecular tension sensing,Alexander R. Dunn; Peiying Chuan; Zev Bryant; and James A. Spudich,Alexander R. Dunn,April 27; 2010 ,Biophysics and Computational Biology,29.0,25,"(80, 3, 26.666666666666668)",2-s2.0-77952393147,7201720426
597,597,597,597,Experimental snapshots of a protein-DNA binding landscape,Ignacio E. Sánchez; Diego U. Ferreiro; Mariano Dellarole; and Gonzalo de Prat-Gay,Ignacio E. Sánchez,April 27; 2010 ,Biophysics and Computational Biology,18.0,17,"(124, 7, 17.714285714285715)",2-s2.0-77952411550,7103004725
598,598,598,598,A mechanical model of actin stress fiber formation and substrate elasticity sensing in adherent cells,Sam Walcott and Sean X. Sun,Sam Walcott,April 27; 2010 ,Biophysics and Computational Biology,115.0,13,"(119, 5, 23.8)",2-s2.0-77952355776,24729488000
599,599,599,599,Probing myosin structural conformation in vivo by second-harmonic generation microscopy,V. Nucciotti; C. Stringari; L. Sacconi; F. Vanzi; L. Fusi; M. Linari; G. Piazzesi; V. Lombardi; and F. S. Pavone,V. Nucciotti,April 27; 2010 ,Biophysics and Computational Biology,73.0,2,"(0, 0, 0)",2-s2.0-77952411548,14421593300
600,600,600,600,Unidirectional Brownian motion observed in an in silico single molecule experiment of an actomyosin motor,Mitsunori Takano; Tomoki P. Terada; and Masaki Sasai,Mitsunori Takano,April 27; 2010 ,Biophysics and Computational Biology,33.0,11,"(24, 2, 12.0)",2-s2.0-77952373083,24802504500
601,601,601,601,Entropic mechanism of large fluctuation in allosteric transition,Kazuhito Itoh and Masaki Sasai,Kazuhito Itoh,April 27; 2010 ,Biophysics and Computational Biology,40.0,10,"(31, 2, 15.5)",2-s2.0-77952337788,7404897247
602,602,602,602,Steric confinement of proteins on lipid membranes can drive curvature and tubulation,Jeanne C. Stachowiak; Carl C. Hayden; and Darryl Y. Sasaki,Jeanne C. Stachowiak,April 27; 2010 ,Biophysics and Computational Biology,84.0,16,"(390, 4, 97.5)",2-s2.0-77952371099,8582968600
603,603,603,603,Evolution-guided discovery and recoding of allosteric pathway specificity determinants in psychoactive bioamine receptors,Gustavo J. Rodriguez; Rong Yao; Olivier Lichtarge; and Theodore G. Wensel,Gustavo J. Rodriguez,April 27; 2010 ,Biophysics and Computational Biology,56.0,3,"(0, 0, 0)",2-s2.0-77952746886,55438913600
604,604,604,604,Foldable structures and the natural design of pollen grains,Eleni Katifori; Silas Alben; Enrique Cerda; David R. Nelson; and Jacques Dumais,Eleni Katifori,April 27; 2010 ,Biophysics and Computational Biology,114.0,8,0,2-s2.0-77952376718,22950561300
605,605,605,605,Protein structural dynamics in solution unveiled via 100-ps time-resolved x-ray scattering,Hyun Sun Cho; Naranbaatar Dashdorj; Friedrich Schotte; Timothy Graber; Robert Henning; and Philip Anfinrud,Hyun Sun Cho,April 20; 2010 ,Biophysics and Computational Biology,89.0,1,"(0, 0, 0)",2-s2.0-77952182778,36171632400
606,606,606,606,Metamorphic proteins mediate evolutionary transitions of structure,Itamar Yadid; Noam Kirshenbaum; Michal Sharon; Orly Dym; and Dan S. Tawfik,Itamar Yadid,April 20; 2010 ,Biophysics and Computational Biology,43.0,6,"(0, 0, 0)",2-s2.0-77952163331,15077581700
607,607,607,607,Structural and functional analysis of the YAP-binding domain of human TEAD2,Wei Tian; Jianzhong Yu; Diana R. Tomchick; Duojia Pan; and Xuelian Luo,Wei Tian,April 20; 2010 ,Biophysics and Computational Biology,63.0,4,"(0, 0, 0)",2-s2.0-77952116604,57199662997
608,608,608,608,Actin filament remodeling by actin depolymerization factor/cofilin,Jim Pfaendtner; Enrique M. De La Cruz; and Gregory A. Voth,Jim Pfaendtner,April 20; 2010 ,Biophysics and Computational Biology,51.0,23,"(422, 8, 52.75)",2-s2.0-77952123773,8924119700
609,609,609,609,Three-dimensional distribution of transient interactions in the nuclear pore complex obtained from single-molecule snapshots,Jiong Ma and Weidong Yang,Jiong Ma,April 20; 2010 ,Biophysics and Computational Biology,63.0,11,"(165, 3, 55.0)",2-s2.0-77952212806,12646558400
610,610,610,610,Dynamic sorting of lipids and proteins in membrane tubes with a moving phase boundary,Michael Heinrich; Aiwei Tian; Cinzia Esposito; and Tobias Baumgart,Michael Heinrich,April 20; 2010 ,Biophysics and Computational Biology,70.0,3,"(26, 1, 26.0)",2-s2.0-77952132277,24528307400
611,611,611,611,Bayesian approach to transforming public gene expression repositories into disease diagnosis databases,Haiyan Huang; Chun-Chi Liu; and Xianghong Jasmine Zhou,Haiyan Huang,April 13; 2010 ,Biophysics and Computational Biology,35.0,33,"(718, 51, 14.07843137254902)",2-s2.0-77951082777,8791625600
612,612,612,612,Fast molecular tracking maps nanoscale dynamics of plasma membrane lipids,Steffen J. Sahl; Marcel Leutenegger; Michael Hilbert; Stefan W. Hell; and Christian Eggeling,Steffen J. Sahl,April 13; 2010 ,Biophysics and Computational Biology,118.0,19,"(0, 0, 0)",2-s2.0-77951082775,36128908700
613,613,613,613,Cyclopentenone prostaglandin-induced unfolding and aggregation of the Parkinson disease-associated UCH-L1,Leonardus M. I. Koharudin; Hao Liu; Roberto Di Maio; Ravindra B. Kodali; Steven H. Graham; and Angela M. Gronenborn,Leonardus M. I. Koharudin,April 13; 2010 ,Biophysics and Computational Biology,44.0,15,"(87, 4, 21.75)",2-s2.0-77951069130,6507580494
614,614,614,614,Analysis of diverse regulatory networks in a hierarchical context shows consistent tendencies for collaboration in the middle levels,Nitin Bhardwaj; Koon-Kiu Yan; and Mark B. Gerstein,Nitin Bhardwaj,April 13; 2010 ,Biophysics and Computational Biology,45.0,22,"(164, 5, 32.8)",2-s2.0-77951044336,10046658400
615,615,615,615,Protein folding at the membrane interface; the structure of Nogo-66 requires interactions with a phosphocholine surface,Sheeja V. Vasudevan; Jessica Schulz; Chunyi Zhou; and Melanie J. Cocco,Sheeja V. Vasudevan,April 13; 2010 ,Biophysics and Computational Biology,17.0,3,"(3, 1, 3.0)",2-s2.0-77951066645,57197115039
616,616,616,616,Structure of lactococcal phage p2 baseplate and its mechanism of activation,Giuliano Sciara; Cecilia Bebeacua; Patrick Bron; Denise Tremblay; Miguel Ortiz-Lombardia; Julie Lichière; Marin van Heel; Valérie Campanacci; Sylvain Moineau; and Christian Cambillau,Giuliano Sciara,April 13; 2010 ,Biophysics and Computational Biology,85.0,14,"(206, 8, 25.75)",2-s2.0-77951089914,6507848854
617,617,617,617,Exploring the within- and between-class correlation distributions for tumor classification,Xuelian Wei and Ker-Chau Li,Xuelian Wei,April 13; 2010 ,Biophysics and Computational Biology,13.0,2,"(0, 0, 0)",2-s2.0-77951067219,24170407100
618,618,618,618,Genomic arrangement of bacterial operons is constrained by biological pathways encoded in the genome,Yanbin Yin; Han Zhang; Victor Olman; and Ying Xu,Yanbin Yin,April 6; 2010 ,Biophysics and Computational Biology,21.0,22,"(242, 5, 48.4)",2-s2.0-77950912269,33368412800
619,619,619,619,Mapping amorphous calcium phosphate transformation into crystalline mineral from the cell to the bone in zebrafish fin rays,Julia Mahamid; Barbara Aichmayer; Eyal Shimoni; Roy Ziblat; Chenghao Li; Stefan Siegel; Oskar Paris; Peter Fratzl; Steve Weiner; and Lia Addadi,Julia Mahamid,April 6; 2010 ,Biophysics and Computational Biology,209.0,17,"(341, 2, 170.5)",2-s2.0-77950911460,23012631700
620,620,620,620,Neurons sense nanoscale roughness with nanometer sensitivity,V. Brunetti; G. Maiorano; L. Rizzello; B. Sorce; S. Sabella; R. Cingolani; and P. P. Pompa,V. Brunetti,April 6; 2010 ,Biophysics and Computational Biology,131.0,18,"(5, 1, 5.0)",2-s2.0-77950870189,26967579900
621,621,621,621,Out-of-equilibrium conformational cycling of GroEL under saturating ATP concentrations,Gabriel A. Frank; Mila Goomanovsky; Amit Davidi; Guy Ziv; Amnon Horovitz; and Gilad Haran,Gabriel A. Frank,April 6; 2010 ,Biophysics and Computational Biology,19.0,8,"(8, 1, 8.0)",2-s2.0-77950890438,24474279800
622,622,622,622,One-microsecond molecular dynamics simulation of channel gating in a nicotinic receptor homologue,Hugues Nury; Frédéric Poitevin; Catherine Van Renterghem; Jean-Pierre Changeux; Pierre-Jean Corringer; Marc Delarue; and Marc Baaden,Hugues Nury,April 6; 2010 ,Biophysics and Computational Biology,109.0,13,"(556, 3, 185.33333333333334)",2-s2.0-77950868175,35435758300
623,623,623,623,Amyloid-like interactions within nucleoporin FG hydrogels,Christian Ader; Steffen Frey; Werner Maas; Hermann Broder Schmidt; Dirk Görlich; and Marc Baldus,Christian Ader,April 6; 2010 ,Biophysics and Computational Biology,79.0,11,"(300, 5, 60.0)",2-s2.0-77950904085,24340583200
624,624,624,624,Revealing strengths and weaknesses of methods for gene network inference,Daniel Marbach; Robert J. Prill; Thomas Schaffter; Claudio Mattiussi; Dario Floreano; and Gustavo Stolovitzky,Daniel Marbach,April 6; 2010 ,Biophysics and Computational Biology,333.0,14,"(220, 2, 110.0)",2-s2.0-77950910419,23390053000
625,625,625,625,Bluetongue virus coat protein VP2 contains sialic acid-binding domains; and VP5 resembles enveloped virus fusion proteins,Xing Zhang; Mark Boyce; Bishnupriya Bhattacharya; Xiaokang Zhang; Stan Schein; Polly Roy; and Z. Hong Zhou,Xing Zhang,April 6; 2010 ,Biophysics and Computational Biology,47.0,18,"(350, 2, 175.0)",2-s2.0-77950907290,56063656300
626,626,626,626,Subunit interactions in bovine papillomavirus,Matthias Wolf; Robert L. Garcea; Nikolaus Grigorieff; and Stephen C. Harrison,Matthias Wolf,April 6; 2010 ,Biophysics and Computational Biology,103.0,7,"(0, 0, 0)",2-s2.0-77950914670,56589389100
627,627,627,627,Two competing orientation patterns explain experimentally observed anomalies in growing actin networks,Julian Weichsel and Ulrich S. Schwarz,Julian Weichsel,April 6; 2010 ,Biophysics and Computational Biology,37.0,7,"(13, 1, 13.0)",2-s2.0-77950872185,24825993700
628,628,628,628,Lethal protein produced in response to competition between sibling bacterial colonies,Avraham Be’er; Gil Ariel; Oren Kalisman; Yael Helman; Alexandra Sirota-Madi; H.P. Zhang; E.-L. Florin; Shelley M. Payne; Eshel Ben-Jacob; and Harry L. Swinney,Avraham Be’er,April 6; 2010 ,Biophysics and Computational Biology,26.0,14,"(156, 4, 39.0)",2-s2.0-77950908033,6505871317
629,629,629,629,Intra- and intercellular fluctuations in Min-protein dynamics decrease with cell length,Elisabeth Fischer-Friedrich; Giovanni Meacci; Joe Lutkenhaus; Hugues Chaté; and Karsten Kruse,Elisabeth Fischer-Friedrich,April 6; 2010 ,Biophysics and Computational Biology,29.0,12,"(249, 1, 249.0)",2-s2.0-77950894514,14830187700
630,630,630,630,Spectral tuning in photoactive yellow protein by modulation of the shape of the excited state energy surface,Andrew F. Philip; Rene A. Nome; George A. Papadantonakis; Norbert F. Scherer; and Wouter D. Hoff,Andrew F. Philip,March 30; 2010 ,Biophysics and Computational Biology,18.0,4,"(32, 1, 32.0)",2-s2.0-77950525147,7102638614
631,631,631,631,Protein-assisted self-assembly of multifunctional nanoparticles,Maxim P. Nikitin; Tatiana A. Zdobnova; Sergey V. Lukash; Oleg A. Stremovskiy; and Sergey M. Deyev,Maxim P. Nikitin,March 30; 2010 ,Biophysics and Computational Biology,62.0,15,"(66, 2, 33.0)",2-s2.0-77950543390,23005296100
632,632,632,632,Principles of conduction and hydrophobic gating in K+ channels,Morten Ø. Jensen; David W. Borhani; Kresten Lindorff-Larsen; Paul Maragakis; Vishwanath Jogini; Michael P. Eastwood; Ron O. Dror; and David E. Shaw,Morten Ø. Jensen,March 30; 2010 ,Biophysics and Computational Biology,172.0,29,"(580, 5, 116.0)",2-s2.0-77950544751,9736210700
633,633,633,633,Fusion of biomimetic stealth probes into lipid bilayer cores,Benjamin D. Almquist and Nicholas A. Melosh,Benjamin D. Almquist,March 30; 2010 ,Biophysics and Computational Biology,60.0,8,"(35, 1, 35.0)",2-s2.0-77950532162,25824554800
634,634,634,634,DNA as a universal substrate for chemical kinetics,David Soloveichik; Georg Seelig; and Erik Winfree,David Soloveichik,March 23; 2010 ,Biophysics and Computational Biology,250.0,14,"(134, 3, 44.666666666666664)",2-s2.0-77950444491,9037986700
635,635,635,635,Hydrophobically stabilized open state for the lateral gate of the Sec translocon,Bin Zhang and Thomas F. Miller III,Bin Zhang,March 23; 2010 ,Biophysics and Computational Biology,36.0,23,"(268, 3, 89.33333333333333)",2-s2.0-77950448361,16023428600
636,636,636,636,Maximum entropy models for antibody diversity,Thierry Mora; Aleksandra M. Walczak; William Bialek; and Curtis G. Callan Jr.,Thierry Mora,March 23; 2010 ,Biophysics and Computational Biology,141.0,21,"(139, 5, 27.8)",2-s2.0-77950376484,6701596511
637,637,637,637,Molecular basis of cyclooxygenase enzymes (COXs) selective inhibition,Vittorio Limongelli; Massimiliano Bonomi; Luciana Marinelli; Francesco Luigi Gervasio; Andrea Cavalli; Ettore Novellino; and Michele Parrinello,Vittorio Limongelli,March 23; 2010 ,Biophysics and Computational Biology,99.0,22,"(140, 4, 35.0)",2-s2.0-77950450012,24344278500
638,638,638,638,Kinetic cooperativity in Escherichia coli 30S ribosomal subunit reconstitution reveals additional complexity in the assembly landscape,Anne E. Bunner; Andrea H. Beck; and James R. Williamson,Anne E. Bunner,March 23; 2010 ,Biophysics and Computational Biology,32.0,6,"(60, 3, 20.0)",2-s2.0-77950410654,24463152700
639,639,639,639,Dual coding in alternative reading frames correlates with intrinsic protein disorder,Erika Kovacs; Peter Tompa; Karoly Liliom; and Lajos Kalmar,Erika Kovacs,March 23; 2010 ,Biophysics and Computational Biology,40.0,4,"(34, 2, 17.0)",2-s2.0-77950421789,56809535000
640,640,640,640,The activated state of a sodium channel voltage sensor in a membrane environment,Sudha Chakrapani; Pornthep Sompornpisut; Pathumwadee Intharathep; Benoît Roux; and Eduardo Perozo,Sudha Chakrapani,March 23; 2010 ,Biophysics and Computational Biology,33.0,16,"(70, 1, 70.0)",2-s2.0-77950423127,16027780500
641,641,641,641,Structural characterization of the Z RING-eIF4E complex reveals a distinct mode of control for eIF4E,Laurent Volpon; Michael J. Osborne; Althea A. Capul; Juan C. de la Torre; and Katherine L. B. Borden,Laurent Volpon,March 23; 2010 ,Biophysics and Computational Biology,45.0,17,"(10, 1, 10.0)",2-s2.0-77950417875,6506065643
642,642,642,642,Deciphering the folding transition state structure and denatured state properties of Nucleophosmin C-terminal domain,Flavio Scaloni; Luca Federici; Maurizio Brunori; and Stefano Gianni,Flavio Scaloni,March 23; 2010 ,Biophysics and Computational Biology,24.0,6,"(120, 3, 40.0)",2-s2.0-77950375373,26635837700
643,643,643,643,FRET measurements of kinesin neck orientation reveal a structural basis for processivity and asymmetry,Douglas S. Martin; Reza Fathi; Timothy J. Mitchison; and Jeff Gelles,Douglas S. Martin,March 23; 2010 ,Biophysics and Computational Biology,15.0,1,"(0, 0, 0)",2-s2.0-77950439417,36086405000
644,644,644,644,Superheating of ice crystals in antifreeze protein solutions,Yeliz Celik; Laurie A. Graham; Yee-Foong Mok; Maya Bar; Peter L. Davies; and Ido Braslavsky,Yeliz Celik,March 23; 2010 ,Biophysics and Computational Biology,64.0,8,"(90, 2, 45.0)",2-s2.0-77950380863,21734517700
645,645,645,645,Optimal architectures of elongated viruses,Antoni Luque; Roya Zandi; and David Reguera,Antoni Luque,March 23; 2010 ,Biophysics and Computational Biology,23.0,10,0,2-s2.0-77950394682,36086403700
646,646,646,646,Quantitative theory of telomere length regulation and cellular senescence,Ignacio A. Rodriguez-Brenes and Charles S. Peskin,Ignacio A. Rodriguez-Brenes,March 23; 2010 ,Biophysics and Computational Biology,33.0,7,"(0, 0, 0)",2-s2.0-77950418311,35776877700
647,647,647,647,A ratchet mechanism for amplification in low-frequency mammalian hearing,Tobias Reichenbach and A. J. Hudspeth,Tobias Reichenbach,March 16; 2010 ,Biophysics and Computational Biology,28.0,16,"(261, 6, 43.5)",2-s2.0-77950453190,14060798600
648,648,648,648,Random cell movement promotes synchronization of the segmentation clock,Koichiro Uriu; Yoshihiro Morishita; and Yoh Iwasa,Koichiro Uriu,March 16; 2010 ,Biophysics and Computational Biology,43.0,10,"(31, 1, 31.0)",2-s2.0-77950379777,22952237200
649,649,649,649,Minute negative superhelicity is sufficient to induce the B-Z transition in the presence of low tension,Mina Lee; Sook Ho Kim; and Seok-Cheol Hong,Mina Lee,March 16; 2010 ,Biophysics and Computational Biology,56.0,5,"(0, 0, 0)",2-s2.0-77950444848,55820549100
650,650,650,650,Strong intranucleoid interactions organize the Escherichia coli chromosome into a nucleoid filament,Paul A. Wiggins; Keith C. Cheveralls; Joshua S. Martin; Robert Lintner; and Jané Kondev,Paul A. Wiggins,March 16; 2010 ,Biophysics and Computational Biology,109.0,-1,0,0,0
651,651,651,651,CaV1.2 β-subunit coordinates CaMKII-triggered cardiomyocyte death and afterdepolarizations,Olha M. Koval; Xiaoquan Guan; Yuejin Wu; Mei-ling Joiner; Zhan Gao; Biyi Chen; Isabella M. Grumbach; Elizabeth D. Luczak; Roger J. Colbran; Long-Sheng Song; Thomas J. Hund; Peter J. Mohler; and Mark E. Anderson,Olha M. Koval,March 16; 2010 ,Biophysics and Computational Biology,67.0,-1,0,0,0
652,652,652,652,Atomically detailed simulation of the recovery stroke in myosin by Milestoning,Ron Elber and Anthony West,Ron Elber,March 16; 2010 ,Biophysics and Computational Biology,47.0,47,"(305, 8, 38.125)",2-s2.0-77950432266,7003746437
653,653,653,653,An unlocking/relocking barrier in conformational fluctuations of villin headpiece subdomain,Andreas Reiner; Peter Henklein; and Thomas Kiefhaber,Andreas Reiner,March 16; 2010 ,Biophysics and Computational Biology,91.0,13,"(112, 3, 37.333333333333336)",2-s2.0-77950388103,7101737367
654,654,654,654,Large-scale conformational sampling of proteins using temperature-accelerated molecular dynamics,Cameron F. Abrams and Eric Vanden-Eijnden,Cameron F. Abrams,March 16; 2010 ,Biophysics and Computational Biology,106.0,21,"(92, 5, 18.4)",2-s2.0-77950448255,7102970895
655,655,655,655,4.0-Å resolution cryo-EM structure of the mammalian chaperonin TRiC/CCT reveals its unique subunit arrangement,Yao Cong; Matthew L. Baker; Joanita Jakana; David Woolford; Erik J. Miller; Stefanie Reissmann; Ramya N. Kumar; Alyssa M. Redding-Johanson; Tanveer S. Batth; Aindrila Mukhopadhyay; Steven J. Ludtke; Judith Frydman; and Wah Chiu,Yao Cong,March 16; 2010 ,Biophysics and Computational Biology,93.0,14,"(222, 4, 55.5)",2-s2.0-77950456761,7004534258
656,656,656,656,Vitrification and levitation of a liquid droplet on liquid nitrogen,Young S. Song; Douglas Adler; Feng Xu; Emre Kayaalp; Aida Nureddin; Raymond M. Anchan; Richard L. Maas; and Utkan Demirci,Young S. Song,March 9; 2010 ,Biophysics and Computational Biology,72.0,21,"(303, 11, 27.545454545454547)",2-s2.0-77949509004,14054898300
657,657,657,657,Markov random fields reveal an N-terminal double beta-propeller motif as part of a bacterial hybrid two-component sensor system,Matt Menke; Bonnie Berger; and Lenore Cowen,Matt Menke,March 2; 2010 ,Biophysics and Computational Biology,14.0,7,"(197, 2, 98.5)",2-s2.0-77749239794,7004046757
658,658,658,658,Ketosteroid isomerase provides further support for the idea that enzymes work by electrostatic preorganization,Shina C.L. Kamerlin; Pankaz K. Sharma; Zhen T. Chu; and Arieh Warshel,Shina C.L. Kamerlin,March 2; 2010 ,Biophysics and Computational Biology,43.0,28,"(688, 10, 68.8)",2-s2.0-77749239790,13610758000
659,659,659,659,pH (low) insertion peptide (pHLIP) inserts across a lipid bilayer as a helix and exits by a different path,Oleg A. Andreev; Alexander G. Karabadzhak; Dhammika Weerakkody; Gregory O. Andreev; Donald M. Engelman; and Yana K. Reshetnyak,Oleg A. Andreev,March 2; 2010 ,Biophysics and Computational Biology,66.0,27,"(215, 4, 53.75)",2-s2.0-77749233798,7005845932
660,660,660,660,Function and specificity of synthetic Hox transcription factors in vivo,Dimitrios K. Papadopoulos; Vladana Vukojević; Yoshitsugu Adachi; Lars Terenius; Rudolf Rigler; and Walter J. Gehring,Dimitrios K. Papadopoulos,March 2; 2010 ,Biophysics and Computational Biology,16.0,6,"(0, 0, 0)",2-s2.0-77749239787,36027614800
661,661,661,661,Quantitative study of synthetic Hox transcription factor–DNA interactions in live cells,Vladana Vukojević; Dimitrios K. Papadopoulos; Lars Terenius; Walter J. Gehring; and Rudolf Rigler,Vladana Vukojević,March 2; 2010 ,Biophysics and Computational Biology,33.0,21,"(167, 7, 23.857142857142858)",2-s2.0-77749239764,6602773100
662,662,662,662,The transition state for folding of an outer membrane protein,Gerard H. M. Huysmans; Stephen A. Baldwin; David J. Brockwell; and Sheena E. Radford,Gerard H. M. Huysmans,March 2; 2010 ,Biophysics and Computational Biology,83.0,9,"(0, 0, 0)",2-s2.0-77749246164,35082133500
663,663,663,663,RNA looping by PTB: Evidence using FRET and NMR spectroscopy for a role in splicing repression,Rajan Lamichhane; Gerrit M. Daubner; Judith Thomas-Crusells; Sigrid D. Auweter; Cristina Manatschal; Keyunna S. Austin; Oksana Valniuk; Frédéric H.-T. Allain; and David Rueda,Rajan Lamichhane,March 2; 2010 ,Biophysics and Computational Biology,62.0,11,"(40, 1, 40.0)",2-s2.0-77749270589,25321098400
664,664,664,664,An atomic-level mechanism for activation of the kinesin molecular motors,Charles V. Sindelar and Kenneth H. Downing,Charles V. Sindelar,March 2; 2010 ,Biophysics and Computational Biology,98.0,16,"(115, 2, 57.5)",2-s2.0-77749239756,6507347240
665,665,665,665,Heterospecies partition analysis reveals binding curve and stoichiometry of protein interactions in living cells,Bin Wu; Yan Chen; and Joachim D. Müller,Bin Wu,March 2; 2010 ,Biophysics and Computational Biology,18.0,20,"(100, 3, 33.333333333333336)",2-s2.0-77749233766,55468225900
666,666,666,666,Independent initiation of primary electron transfer in the two branches of the photosystem I reaction center,Marc G. Müller; Chavdar Slavov; Rajiv Luthra; Kevin E. Redding; and Alfred R. Holzwarth,Marc G. Müller,March 2; 2010 ,Biophysics and Computational Biology,63.0,25,"(133, 4, 33.25)",2-s2.0-77749233753,57199034833
667,667,667,667,Surface-coupled proton exchange of a membrane-bound proton acceptor,Tor Sandén; Lina Salomonsson; Peter Brzezinski; and Jerker Widengren,Tor Sandén,March 2; 2010 ,Biophysics and Computational Biology,40.0,7,"(58, 4, 14.5)",2-s2.0-77749239744,15756370300
668,668,668,668,Electrostatics of aquaporin and aquaglyceroporin channels correlates with their transport selectivity,Romina Oliva; Giuseppe Calamita; Janet M. Thornton; and Marialuisa Pellegrini-Calace,Romina Oliva,March 2; 2010 ,Biophysics and Computational Biology,30.0,14,"(94, 5, 18.8)",2-s2.0-77749239733,7102411611
669,669,669,669,Insight into the mechanism of an iron dioxygenase by resolution of steps following the FeIV═O species,Piotr K. Grzyska; Evan H. Appelman; Robert P. Hausinger; and Denis A. Proshlyakov,Piotr K. Grzyska,March 2; 2010 ,Biophysics and Computational Biology,46.0,-1,0,0,0
670,670,670,670,Abduction and asylum in the lives of transcription factors,Anat Burger; Aleksandra M. Walczak; and Peter G. Wolynes,Anat Burger,March 2; 2010 ,Biophysics and Computational Biology,36.0,3,"(0, 0, 0)",2-s2.0-77749246295,36027319400
671,671,671,671,Identifying the amylome; proteins capable of forming amyloid-like fibrils,Lukasz Goldschmidt; Poh K. Teng; Roland Riek; and David Eisenberg,Lukasz Goldschmidt,February 23; 2010 ,Biophysics and Computational Biology,377.0,11,"(257, 2, 128.5)",2-s2.0-77649240855,16070471500
672,672,672,672,FragBag; an accurate representation of protein structure; retrieves structural neighbors from the entire PDB quickly and accurately,Inbal Budowski-Tal; Yuval Nov; and Rachel Kolodny,Inbal Budowski-Tal,February 23; 2010 ,Biophysics and Computational Biology,51.0,2,"(0, 0, 0)",2-s2.0-77649240530,35726487500
