title,authors,firstAuthor,date,category,citationNumber
Coordination of IL-7 receptor and T-cell receptor signaling by cell-division cycle 42 in T-cell homeostasis,Fukun Guo; David Hildeman; Pulak Tripathi; Chinavenmeni S. Velu; H. Leighton Grimes; and Yi Zheng,Fukun Guo,October 26; 2010 ,Cell Biology,23
p53-dependent regulation of autophagy protein LC3 supports cancer cell survival under prolonged starvation,Ruth Scherz-Shouval; Hilla Weidberg; Chagay Gonen; Sylvia Wilder; Zvulun Elazar; and Moshe Oren,Ruth Scherz-Shouval,October 26; 2010 ,Cell Biology,127
ErbB2 receptor controls microtubule capture by recruiting ACF7 to the plasma membrane of migrating cells,Kossay Zaoui; Khedidja Benseddik; Pascale Daou; Danièle Salaün; and Ali Badache,Kossay Zaoui,October 26; 2010 ,Cell Biology,49
A chromatin localization screen reveals poly (ADP ribose)-regulated recruitment of the repressive polycomb and NuRD complexes to sites of DNA damage,Danny M. Chou; Britt Adamson; Noah E. Dephoure; Xu Tan; Amanda C. Nottke; Kristen E. Hurov; Steven P. Gygi; Monica P. Colaiácovo; and Stephen J. Elledge,Danny M. Chou,October 26; 2010 ,Cell Biology,279
Constitutively active calcineurin induces cardiac endoplasmic reticulum stress and protects against apoptosis that is mediated by α-crystallin-B,Nicolas Bousette; Shaan Chugh; Vincent Fong; Ruth Isserlin; Kyoung-Han Kim; Allen Volchuk; Peter H. Backx; Peter Liu; Thomas Kislinger; David H. MacLennan; Andrew Emili; and Anthony O. Gramolini,Nicolas Bousette,October 26; 2010 ,Cell Biology,37
Pheochromocytoma in rats with multiple endocrine neoplasia (MENX) shares gene expression patterns with human pheochromocytoma,Sara Molatore; Sandya Liyanarachchi; Martin Irmler; Aurel Perren; Massimo Mannelli; Tonino Ercolino; Felix Beuschlein; Barbara Jarzab; Jan Wloch; Jacek Ziaja; Saida Zoubaa; Frauke Neff; Johannes Beckers; Heinz Höfler; Michael J. Atkinson; and Natalia S. Pellegata,Sara Molatore,October 26; 2010 ,Cell Biology,24
The zebrafish foxj1a transcription factor regulates cilia function in response to injury and epithelial stretch,Nathan E. Hellman; Yan Liu; Erin Merkel; Christina Austin; Stephanie Le Corre; David R. Beier; Zhaoxia Sun; Neeraj Sharma; Bradley K. Yoder; and Iain A. Drummond,Nathan E. Hellman,October 26; 2010 ,Cell Biology,39
Induction of long interspersed nucleotide element-1 (L1) retrotransposition by 6-formylindolo[3;2-b]carbazole (FICZ); a tryptophan photoproduct,Noriyuki Okudaira; Kenta Iijima; Takayoshi Koyama; Yuzuru Minemoto; Shigeyuki Kano; Akio Mimori; and Yukihito Ishizaka,Noriyuki Okudaira,October 26; 2010 ,Cell Biology,29
Connexin 43 is critical to maintain the homeostasis of the blood–testis barrier via its effects on tight junction reassembly,Michelle W. M. Li; Dolores D. Mruk; Will M. Lee; and C. Yan Cheng,Michelle W. M. Li,October 19; 2010 ,Cell Biology,74
GAPDH regulates cellular heme insertion into inducible nitric oxide synthase,Ritu Chakravarti; Kulwant S. Aulak; Paul L. Fox; and Dennis J. Stuehr,Ritu Chakravarti,October 19; 2010 ,Cell Biology,57
Claudin-4 forms paracellular chloride channel in the kidney and requires claudin-8 for tight junction localization,Jianghui Hou; Aparna Renigunta; Jing Yang; and Siegfried Waldegger,Jianghui Hou,October 19; 2010 ,Cell Biology,107
Tumors induce complex DNA damage in distant proliferative tissues in vivo,Christophe E. Redon; Jennifer S. Dickey; Asako J. Nakamura; Irina G. Kareva; Dieter Naf; Somaira Nowsheen; Thomas B. Kryston; William M. Bonner; Alexandros G. Georgakilas; and Olga A. Sedelnikova,Christophe E. Redon,October 19; 2010 ,Cell Biology,85
Galectin-9 trafficking regulates apical-basal polarity in Madin–Darby canine kidney epithelial cells,Rashmi Mishra; Michal Grzybek; Toshiro Niki; Mitsuomi Hirashima; and Kai Simons,Rashmi Mishra,October 12; 2010 ,Cell Biology,69
Polyunsaturated liposomes are antiviral against hepatitis B and C viruses and HIV by decreasing cholesterol levels in infected cells,Stephanie Pollock; Norica Branza Nichita; Annette Böhmer; Cristina Radulescu; Raymond A. Dwek; and Nicole Zitzmann,Stephanie Pollock,October 5; 2010 ,Cell Biology,30
Lateral opening of a translocon upon entry of protein suggests the mechanism of insertion into membranes,Pascal F. Egea and Robert M. Stroud,Pascal F. Egea,October 5; 2010 ,Cell Biology,86
Mutations of cellulose synthase (CESA1) phosphorylation sites modulate anisotropic cell expansion and bidirectional mobility of cellulose synthase,Shaolin Chen; David W. Ehrhardt; and Chris R. Somerville,Shaolin Chen,October 5; 2010 ,Cell Biology,78
Animal cells connected by nanotubes can be electrically coupled through interposed gap-junction channels,Xiang Wang; Margaret Lin Veruki; Nickolay V. Bukoreshtliev; Espen Hartveit; and Hans-Hermann Gerdes,Xiang Wang,October 5; 2010 ,Cell Biology,109
Phosphorylation of eukaryotic initiation factor-2α promotes the extracellular survival of obligate intracellular parasite Toxoplasma gondii,Bradley R. Joyce; Sherry F. Queener; Ronald C. Wek; and William J. Sullivan Jr.,Bradley R. Joyce,October 5; 2010 ,Cell Biology,42
PDGF signaling is required for epicardial function and blood vessel formation in regenerating zebrafish hearts,Jieun Kim; Qiong Wu; Yolanda Zhang; Katie M. Wiens; Ying Huang; Nicole Rubin; Hiroyuki Shimada; Robert I. Handin; Michael Y. Chao; Tai-Lan Tuan; Vaughn A. Starnes; and Ching-Ling Lien,Jieun Kim,October 5; 2010 ,Cell Biology,98
Anti-inflammatory protein TSG-6 reduces inflammatory damage to the cornea following chemical and mechanical injury,Joo Youn Oh; Gavin W. Roddy; Hosoon Choi; Ryang Hwa Lee; Joni H. Ylöstalo; Robert H. Rosa Jr.; and Darwin J. Prockop,Joo Youn Oh,September 28; 2010 ,Cell Biology,113
A small molecule accelerates neuronal differentiation in the adult rat,Heiko Wurdak; Shoutian Zhu; Kyung Hoon Min; Lindsey Aimone; Luke L. Lairson; James Watson; Gregory Chopiuk; James Demas; Bradley Charette; Rajkumar Halder; Eranthie Weerapana; Benjamin F. Cravatt; Hollis T. Cline; Eric C. Peters; Jay Zhang; John R. Walker; Chunlei Wu; Jonathan Chang; Tove Tuntland; Charles Y. Cho; and Peter G. Schultz,Heiko Wurdak,September 21; 2010 ,Cell Biology,70
Viral terminal protein directs early organization of phage DNA replication at the bacterial nucleoid,Daniel Muñoz-Espín; Isabel Holguera; David Ballesteros-Plaza; Rut Carballido-López; and Margarita Salas,Daniel Muñoz-Espín,September 21; 2010 ,Cell Biology,26
Targeting botulinum neurotoxin persistence by the ubiquitin-proteasome system,Yien Che Tsai; Rhyan Maditz; Chueh-ling Kuo; Paul S. Fishman; Charles B. Shoemaker; George A. Oyler; and Allan M. Weissman,Yien Che Tsai,September 21; 2010 ,Cell Biology,46
In vivo pair correlation analysis of EGFP intranuclear diffusion reveals DNA-dependent molecular flow,Elizabeth Hinde; Francesco Cardarelli; Michelle A. Digman; and Enrico Gratton,Elizabeth Hinde,September 21; 2010 ,Cell Biology,47
Mammalian endoplasmic reticulum stress sensor IRE1 signals by dynamic clustering,Han Li; Alexei V. Korennykh; Shannon L. Behrman; and Peter Walter,Han Li,September 14; 2010 ,Cell Biology,144
The serine/arginine-rich protein SF2/ASF regulates protein sumoylation,Federico Pelisch; Juan Gerez; Jimena Druker; Ignacio E. Schor; Manuel J. Muñoz; Guillermo Risso; Ezequiel Petrillo; Belinda J. Westman; Angus I. Lamond; Eduardo Arzt; and Anabella Srebrow,Federico Pelisch,September 14; 2010 ,Cell Biology,32
RNA helicase A is a DNA-binding partner for EGFR-mediated transcriptional activation in the nucleus,Longfei Huo; Ying-Nai Wang; Weiya Xia; Sheng-Chieh Hsu; Chien-Chen Lai; Long-Yuan Li; Wei-Chao Chang; Yan Wang; Ming-Chuan Hsu; Yung-Luen Yu; Tzu-Hsuan Huang; Qingqing Ding; Chung-Hsuan Chen; Chang-Hai Tsai; and Mien-Chie Hung,Longfei Huo,September 14; 2010 ,Cell Biology,57
CCAAT/enhancer binding protein delta (C/EBPδ; CEBPD)-mediated nuclear import of FANCD2 by IPO4 augments cellular response to DNA damage,Jun Wang; Tapasree Roy Sarkar; Ming Zhou; Shikha Sharan; Daniel A. Ritt; Timothy D. Veenstra; Deborah K. Morrison; A-Mei Huang; and Esta Sterneck,Jun Wang,September 14; 2010 ,Cell Biology,17
Mechanism of Trypanosoma brucei gambiense (group 1) resistance to human trypanosome lytic factor,Rudo Kieft; Paul Capewell; C. Michael R. Turner; Nicola J. Veitch; Annette MacLeod; and Stephen Hajduk,Rudo Kieft,September 14; 2010 ,Cell Biology,62
Endosomal-sorting complexes required for transport (ESCRT) pathway-dependent endosomal traffic regulates the localization of active Src at focal adhesions,Chun Tu; Cesar F. Ortega-Cava; Paul Winograd; Marissa Jo Stanton; Alagarsamy Lakku Reddi; Ingrid Dodge; Ranjana Arya; Manjari Dimri; Robert J. Clubb; Mayumi Naramura; Kay-Uwe Wagner; Vimla Band; and Hamid Band,Chun Tu,September 14; 2010 ,Cell Biology,33
Hyper telomere recombination accelerates replicative senescence and may promote premature aging,R. Tanner Hagelstrom; Krastan B. Blagoev; Laura J. Niedernhofer; Edwin H. Goodwin; and Susan M. Bailey,R. Tanner Hagelstrom,September 7; 2010 ,Cell Biology,42
12/15-lipoxygenase–derived lipid peroxides control receptor tyrosine kinase signaling through oxidation of protein tyrosine phosphatases,Marcus Conrad; Åsa Sandin; Heidi Förster; Alexander Seiler; Jeroen Frijhoff; Markus Dagnell; Georg W. Bornkamm; Olof Rådmark; Rob Hooft van Huijsduijnen; Pontus Aspenström; Frank Böhmer; and Arne Östman,Marcus Conrad,September 7; 2010 ,Cell Biology,62
Fine-tuning of neuronal architecture requires two profilin isoforms,Kristin Michaelsen; Kai Murk; Marta Zagrebelsky; Anita Dreznjak; Brigitte M. Jockusch; Martin Rothkegel; and Martin Korte,Kristin Michaelsen,September 7; 2010 ,Cell Biology,34
FGF receptor-4 (FGFR4) polymorphism acts as an activity switch of a membrane type 1 matrix metalloproteinase–FGFR4 complex,Nami Sugiyama; Markku Varjosalo; Pipsa Meller; Jouko Lohi; Kui Ming Chan; Zhongjun Zhou; Kari Alitalo; Jussi Taipale; Jorma Keski-Oja; and Kaisa Lehti,Nami Sugiyama,September 7; 2010 ,Cell Biology,31
Comprehensive microRNA expression profiling of the hematopoietic hierarchy,O. I. Petriv; F. Kuchenbauer; A. D. Delaney; V. Lecault; A. White; D. Kent; L. Marmolejo; M. Heuser; T. Berg; M. Copley; J. Ruschmann; S. Sekulovic; C. Benz; E. Kuroda; V. Ho; F. Antignano; T. Halim; V. Giambra; G. Krystal; C. J. F. Takei; A. P. Weng; J. Piret; C. Eaves; M. A. Marra; R. K. Humphries; and C. L. Hansen,O. I. Petriv,August 31; 2010 ,Cell Biology,95
Core epithelial-to-mesenchymal transition interactome gene-expression signature is associated with claudin-low and metaplastic breast cancer subtypes,Joseph H. Taube; Jason I. Herschkowitz; Kakajan Komurov; Alicia Y. Zhou; Supriya Gupta; Jing Yang; Kimberly Hartwell; Tamer T. Onder; Piyush B. Gupta; Kurt W. Evans; Brett G. Hollier; Prahlad T. Ram; Eric S. Lander; Jeffrey M. Rosen; Robert A. Weinberg; and Sendurai A. Mani,Joseph H. Taube,August 31; 2010 ,Cell Biology,514
High-throughput screens in diploid cells identify factors that contribute to the acquisition of chromosomal instability,Andrew R. Conery and Ed Harlow,Andrew R. Conery,August 31; 2010 ,Cell Biology,7
Nucleoside diphosphate kinase Nm23-H1 regulates chromosomal stability by activating the GTPase dynamin during cytokinesis,Andrew R. Conery; Sanja Sever; and Ed Harlow,Andrew R. Conery,August 31; 2010 ,Cell Biology,19
PKA phosphorylates histone deacetylase 5 and prevents its nuclear export; leading to the inhibition of gene transcription and cardiomyocyte hypertrophy,Chang Hoon Ha; Ji Young Kim; Jinjing Zhao; Weiye Wang; Bong Sook Jhun; Chelsea Wong; and Zheng Gen Jin,Chang Hoon Ha,August 31; 2010 ,Cell Biology,64
Inhibition of tumorigenesis driven by different Wnt proteins requires blockade of distinct ligand-binding regions by LRP6 antibodies,Seth A. Ettenberg; Olga Charlat; Michael P. Daley; Shanming Liu; Karen J. Vincent; Darrin D. Stuart; Alwin G. Schuller; Jing Yuan; Beatriz Ospina; John Green; Qunyan Yu; Renee Walsh; Sharon Li; Rita Schmitz; Holger Heine; Sanela Bilic; Lance Ostrom; Rebecca Mosher; K. Felix Hartlepp; Zhenping Zhu; Stephen Fawell; Yung-Mae Yao; David Stover; Peter M. Finan; Jeffery A. Porter; William R. Sellers; Ingo M. Klagge; and Feng Cong,Seth A. Ettenberg,August 31; 2010 ,Cell Biology,78
Probing in vivo Mn2+ speciation and oxidative stress resistance in yeast cells with electron-nuclear double resonance spectroscopy,Rebecca L. McNaughton; Amit R. Reddi; Matthew H. S. Clement; Ajay Sharma; Kevin Barnese; Leah Rosenfeld; Edith Butler Gralla; Joan Selverstone Valentine; Valeria C. Culotta; and Brian M. Hoffman,Rebecca L. McNaughton,August 31; 2010 ,Cell Biology,65
Mechanisms of estrogen receptor antagonism toward p53 and its implications in breast cancer therapeutic response and stem cell regulation,Santhi D. Konduri; Rajesh Medisetty; Wensheng Liu; Benny Abraham Kaipparettu; Pratima Srivastava; Hiltrud Brauch; Peter Fritz; Wendy M. Swetzig; Amanda E. Gardner; Sohaib A. Khan; and Gokul M. Das,Santhi D. Konduri,August 24; 2010 ,Cell Biology,51
Identification of RING finger protein 4 (RNF4) as a modulator of DNA demethylation through a functional genomics screen,Xiaoyi V. Hu; Tânia M. A. Rodrigues; Haiyan Tao; Robert K. Baker; Loren Miraglia; Anthony P. Orth; Gary E. Lyons; Peter G. Schultz; and Xu Wu,Xiaoyi V. Hu,August 24; 2010 ,Cell Biology,43
Human origin recognition complex is essential for HP1 binding to chromatin and heterochromatin organization,Supriya G. Prasanth; Zhen Shen; Kannanganattu V. Prasanth; and Bruce Stillman,Supriya G. Prasanth,August 24; 2010 ,Cell Biology,71
Small-molecule inducers of insulin expression in pancreatic α-cells,Dina Fomina-Yadlin; Stefan Kubicek; Deepika Walpita; Vlado Dančik; Jacob Hecksher-Sørensen; Joshua A. Bittker; Tanaz Sharifnia; Alykhan Shamji; Paul A. Clemons; Bridget K. Wagner; and Stuart L. Schreiber,Dina Fomina-Yadlin,August 24; 2010 ,Cell Biology,40
T-cell receptor complex is essential for Fas signal transduction,Askar M. Akimzhanov; Xinmin Wang; Jiaren Sun; and Darren Boehning,Askar M. Akimzhanov,August 24; 2010 ,Cell Biology,12
Myonuclei acquired by overload exercise precede hypertrophy and are not lost on detraining,J. C. Bruusgaard; I. B. Johansen; I. M. Egner; Z. A. Rana; and K. Gundersen,J. C. Bruusgaard,August 24; 2010 ,Cell Biology,106
Clustering of dispersed ribosomal DNA and its role in gene regulation and chromosome-end associations in malaria parasites,Liliana Mancio-Silva; Qingfeng Zhang; Christine Scheidig-Benatar; and Artur Scherf,Liliana Mancio-Silva,August 24; 2010 ,Cell Biology,13
Caloric restriction or catalase inactivation extends yeast chronological lifespan by inducing H2O2 and superoxide dismutase activity,Ana Mesquita; Martin Weinberger; Alexandra Silva; Belém Sampaio-Marques; Bruno Almeida; Cecília Leão; Vítor Costa; Fernando Rodrigues; William C. Burhans; and Paula Ludovico,Ana Mesquita,August 24; 2010 ,Cell Biology,147
Polo-like kinase 1 phosphorylation of p150Glued facilitates nuclear envelope breakdown during prophase,Hongchang Li; X. Shawn Liu; Xiaoming Yang; Bing Song; Yun Wang; and Xiaoqi Liu,Hongchang Li,August 17; 2010 ,Cell Biology,31
Histone deacetylase inhibitor induces DNA damage; which normal but not transformed cells can repair,J.-H. Lee; M. L. Choy; L. Ngo; S. S. Foster; and Paul A. Marks,J.-H. Lee,August 17; 2010 ,Cell Biology,176
Nonmuscle myosin II isoform and domain specificity during early mouse development,Aibing Wang; Xuefei Ma; Mary Anne Conti; Chengyu Liu; Sachiyo Kawamoto; and Robert S. Adelstein,Aibing Wang,August 17; 2010 ,Cell Biology,37
Inducible response required for repair of low-dose radiation damage in human fibroblasts,Saskia Grudzenski; Antonia Raths; Sandro Conrad; Claudia E. Rübe; and Markus Löbrich,Saskia Grudzenski,August 10; 2010 ,Cell Biology,70
eIF4E phosphorylation promotes tumorigenesis and is associated with prostate cancer progression,Luc Furic; Liwei Rong; Ola Larsson; Ismaël Hervé Koumakpayi; Kaori Yoshida; Andrea Brueschke; Emmanuel Petroulakis; Nathaniel Robichaud; Michael Pollak; Louis A. Gaboury; Pier Paolo Pandolfi; Fred Saad; and Nahum Sonenberg,Luc Furic,August 10; 2010 ,Cell Biology,224
Bothrops snake myotoxins induce a large efflux of ATP and potassium with spreading of cell damage and pain,Mariana Cintra-Francischinelli; Paola Caccin; Angela Chiavegato; Paola Pizzo; Giorgio Carmignoto; Yamileth Angulo; Bruno Lomonte; José María Gutiérrez; and Cesare Montecucco,Mariana Cintra-Francischinelli,August 10; 2010 ,Cell Biology,40
Telomerase-immortalized human mammary stem/progenitor cells with ability to self-renew and differentiate,Xiangshan Zhao; Gautam K. Malhotra; Subodh M. Lele; Manjiri S. Lele; William W. West; James D. Eudy; Hamid Band; and Vimla Band,Xiangshan Zhao,August 10; 2010 ,Cell Biology,35
Promotion of direct reprogramming by transformation-deficient Myc,Masato Nakagawa; Nanako Takizawa; Megumi Narita; Tomoko Ichisaka; and Shinya Yamanaka,Masato Nakagawa,August 10; 2010 ,Cell Biology,204
Separating mitogenic and metabolic activities of fibroblast growth factor 19 (FGF19),Xinle Wu; Hongfei Ge; Bryan Lemon; Steven Vonderfecht; Helene Baribault; Jennifer Weiszmann; Jamila Gupte; Jonitha Gardner; Richard Lindberg; Zhulun Wang; and Yang Li,Xinle Wu,August 10; 2010 ,Cell Biology,54
Genome-wide analysis reveals mechanisms modulating autophagy in normal brain aging and in Alzheimer's disease,Marta M. Lipinski; Bin Zheng; Tao Lu; Zhenyu Yan; Bénédicte F. Py; Aylwin Ng; Ramnik J. Xavier; Cheng Li; Bruce A. Yankner; Clemens R. Scherzer; and Junying Yuan,Marta M. Lipinski,August 10; 2010 ,Cell Biology,245
Roles of epithelial cell-derived periostin in TGF-β activation; collagen production; and collagen gel elasticity in asthma,Sukhvinder S. Sidhu; Shaopeng Yuan; Anh L. Innes; Sheena Kerr; Prescott G. Woodruff; Lydia Hou; Susan J. Muller; and John V. Fahy,Sukhvinder S. Sidhu,August 10; 2010 ,Cell Biology,216
Structure of a C-terminal fragment of its Vps53 subunit suggests similarity of Golgi-associated retrograde protein (GARP) complex to a family of tethering complexes,Neil Vasan; Alex Hutagalung; Peter Novick; and Karin M. Reinisch,Neil Vasan,August 10; 2010 ,Cell Biology,20
HIF-2α deletion promotes Kras-driven lung tumor development,Jolly Mazumdar; Michele M. Hickey; Dhruv K. Pant; Amy C. Durham; Alejandro Sweet-Cordero; Anil Vachani; Tyler Jacks; Lewis A. Chodosh; Joseph L. Kissil; M. Celeste Simon; and Brian Keith,Jolly Mazumdar,August 10; 2010 ,Cell Biology,75
The ATM–p53 pathway suppresses aneuploidy-induced tumorigenesis,Min Li; Xiao Fang; Darren J. Baker; Linjie Guo; Xue Gao; Zhubo Wei; Shuhua Han; Jan M. van Deursen; and Pumin Zhang,Min Li,August 10; 2010 ,Cell Biology,122
Caulobacter chromosome segregation is an ordered multistep process,Conrad W. Shebelut; Jonathan M. Guberman; Sven van Teeffelen; Anastasiya A. Yakhnina; and Zemer Gitai,Conrad W. Shebelut,August 10; 2010 ,Cell Biology,65
Immune-related zinc finger gene ZFAT is an essential transcriptional regulator for hematopoietic differentiation in blood islands,Toshiyuki Tsunoda; Yasuo Takashima; Yoko Tanaka; Takahiro Fujimoto; Keiko Doi; Yumiko Hirose; Midori Koyanagi; Yasuhiro Yoshida; Tadashi Okamura; Masahide Kuroki; Takehiko Sasazuki; and Senji Shirasawa,Toshiyuki Tsunoda,August 10; 2010 ,Cell Biology,21
Combined deficiency for MAP kinase-interacting kinase 1 and 2 (Mnk1 and Mnk2) delays tumor development,Takeshi Ueda; Masato Sasaki; Andrew J. Elia; Iok In Christine Chio; Koichi Hamada; Rikiro Fukunaga; and Tak W. Mak,Takeshi Ueda,August 10; 2010 ,Cell Biology,105
Rediscovery of the nucleolinus; a dynamic RNA-rich organelle associated with the nucleolus; spindle; and centrosomes,Mary Anne Alliegro; Jonathan J. Henry; and Mark C. Alliegro,Mary Anne Alliegro,August 3; 2010 ,Cell Biology,11
Aggregation of human mesenchymal stromal cells (MSCs) into 3D spheroids enhances their antiinflammatory properties,Thomas J. Bartosh; Joni H. Ylöstalo; Arezoo Mohammadipoor; Nikolay Bazhanov; Katie Coble; Kent Claypool; Ryang Hwa Lee; Hosoon Choi; and Darwin J. Prockop,Thomas J. Bartosh,August 3; 2010 ,Cell Biology,320
Unique precursors for the mesenchymal cells involved in injury response and fibrosis,Janice L. Walker; Ni Zhai; Liping Zhang; Brigid M. Bleaken; Iris Wolff; Jacquelyn Gerhart; Mindy George-Weinstein; and A. Sue Menko,Janice L. Walker,August 3; 2010 ,Cell Biology,19
Time-resolved luminescence resonance energy transfer imaging of protein–protein interactions in living cells,Harsha E. Rajapakse; Nivriti Gahlaut; Shabnam Mohandessi; Dan Yu; Jerrold R. Turner; and Lawrence W. Miller,Harsha E. Rajapakse,August 3; 2010 ,Cell Biology,90
Phosphorylation stabilizes Nanog by promoting its interaction with Pin1,Matteo Moretto-Zita; Hua Jin; Zhouxin Shen; Tongbiao Zhao; Steven P. Briggs; and Yang Xu,Matteo Moretto-Zita,July 27; 2010 ,Cell Biology,93
ALS-associated mutations in TDP-43 increase its stability and promote TDP-43 complexes with FUS/TLS,Shuo-Chien Ling; Claudio P. Albuquerque; Joo Seok Han; Clotilde Lagier-Tourenne; Seiya Tokunaga; Huilin Zhou; and Don W. Cleveland,Shuo-Chien Ling,July 27; 2010 ,Cell Biology,215
A non-ring-like form of the Dam1 complex modulates microtubule dynamics in fission yeast,Qi Gao; Thibault Courtheoux; Yannick Gachet; Sylvie Tournier; and Xiangwei He,Qi Gao,July 27; 2010 ,Cell Biology,16
Magnetic nanoparticle-based isolation of endocytic vesicles reveals a role of the heat shock protein GRP75 in macromolecular delivery,Anders Wittrup; Si-He Zhang; Katrin J. Svensson; Paulina Kucharzewska; Maria C. Johansson; Matthias Mörgelin; and Mattias Belting,Anders Wittrup,July 27; 2010 ,Cell Biology,41
Metacaspase Yca1 is required for clearance of insoluble protein aggregates,Robin E. C. Lee; Steve Brunette; Lawrence G. Puente; and Lynn A. Megeney,Robin E. C. Lee,July 27; 2010 ,Cell Biology,75
3D visualization of HIV transfer at the virological synapse between dendritic cells and T cells,Richard L. Felts; Kedar Narayan; Jacob D. Estes; Dan Shi; Charles M. Trubey; Jing Fu; Lisa M. Hartnell; Gordon T. Ruthel; Douglas K. Schneider; Kunio Nagashima; Julian W. Bess Jr.; Sina Bavari; Bradley C. Lowekamp; Donald Bliss; Jeffrey D. Lifson; and Sriram Subramaniam,Richard L. Felts,July 27; 2010 ,Cell Biology,116
Regulation of cell motile behavior by crosstalk between cadherin- and integrin-mediated adhesions,Nicolas Borghi; Molly Lowndes; Venkat Maruthamuthu; Margaret L. Gardel; and W. James Nelson,Nicolas Borghi,July 27; 2010 ,Cell Biology,116
Heightened mitochondrial priming is the basis for apoptotic hypersensitivity of CD4+ CD8+ thymocytes,Jeremy A. Ryan; Joslyn K. Brunelle; and Anthony Letai,Jeremy A. Ryan,July 20; 2010 ,Cell Biology,77
Important roles of PI3Kγ in osteoclastogenesis and bone homeostasis,Heeseog Kang; Woochul Chang; Marja Hurley; Agnès Vignery; and Dianqing Wu,Heeseog Kang,July 20; 2010 ,Cell Biology,17
Identification of a cellulose synthase-associated protein required for cellulose biosynthesis,Ying Gu; Nick Kaplinsky; Martin Bringmann; Alex Cobb; Andrew Carroll; Arun Sampathkumar; Tobias I. Baskin; Staffan Persson; and Chris R. Somerville,Ying Gu,July 20; 2010 ,Cell Biology,115
Microtubule-assisted mechanism for functional metabolic macromolecular complex formation,Songon An; Yijun Deng; John W. Tomsho; Minjoung Kyoung; and Stephen J. Benkovic,Songon An,July 20; 2010 ,Cell Biology,44
Differential control of TAp73 and ΔNp73 protein stability by the ring finger ubiquitin ligase PIR2,Berna S. Sayan; Ai Li Yang; Franco Conforti; Paola Tucci; Maria Cristina Piro; Gareth J. Browne; Massimiliano Agostini; Sergio Bernardini; Richard A. Knight; Tak W. Mak; and Gerry Melino,Berna S. Sayan,July 20; 2010 ,Cell Biology,47
Human ESCRT-III and VPS4 proteins are required for centrosome and spindle maintenance,Eiji Morita; Leremy A. Colf; Mary Anne Karren; Virginie Sandrin; Christopher K. Rodesch; and Wesley I. Sundquist,Eiji Morita,July 20; 2010 ,Cell Biology,108
Endocytosis-like protein uptake in the bacterium Gemmata obscuriglobus,Thierry G. A. Lonhienne; Evgeny Sagulenko; Richard I. Webb; Kuo-Chang Lee; Josef Franke; Damien P. Devos; Amanda Nouwens; Bernard J. Carroll; and John A. Fuerst,Thierry G. A. Lonhienne,July 20; 2010 ,Cell Biology,104
Fibroblast growth factor 21 regulates energy metabolism by activating the AMPK–SIRT1–PGC-1α pathway,Mary D. L. Chau; Jiaping Gao; Qing Yang; Zhidan Wu; and Jesper Gromada,Mary D. L. Chau,July 13; 2010 ,Cell Biology,206
Tailored cancer immunotherapy using combinations of chemotherapy and a mixture of antibodies against EGF-receptor ligands,Moshit Lindzen; Sara Lavi; Orith Leitner; and Yosef Yarden,Moshit Lindzen,July 13; 2010 ,Cell Biology,13
Loss of human Greatwall results in G2 arrest and multiple mitotic defects due to deregulation of the cyclin B-Cdc2/PP2A balance,Andrew Burgess; Suzanne Vigneron; Estelle Brioudes; Jean-Claude Labbé; Thierry Lorca; and Anna Castro,Andrew Burgess,July 13; 2010 ,Cell Biology,386
Motorized RhoGAP myosin IXb (Myo9b) controls cell shape and motility,Peter J. Hanley; Yan Xu; Moritz Kronlage; Kay Grobe; Peter Schön; Jian Song; Lydia Sorokin; Albrecht Schwab; and Martin Bähler,Peter J. Hanley,July 6; 2010 ,Cell Biology,55
Kinesin-1 heavy chain mediates microtubule sliding to drive changes in cell shape,Amber L. Jolly; Hwajin Kim; Divya Srinivasan; Margot Lakonishok; Adam G. Larson; and Vladimir I. Gelfand,Amber L. Jolly,July 6; 2010 ,Cell Biology,56
Proteomic identification of phosphatidylinositol (3;4;5) triphosphate-binding proteins in Dictyostelium discoideum,Pingbo Zhang; Yu Wang; Hiromi Sesaki; and Miho Iijima,Pingbo Zhang,June 29; 2010 ,Cell Biology,20
Parkin overexpression selects against a deleterious mtDNA mutation in heteroplasmic cybrid cells,Der-Fen Suen; Derek P. Narendra; Atsushi Tanaka; Giovanni Manfredi; and Richard J. Youle,Der-Fen Suen,June 29; 2010 ,Cell Biology,150
Pheromone-induced anisotropy in yeast plasma membrane phosphatidylinositol-4;5-bisphosphate distribution is required for MAPK signaling,Lindsay S. Garrenton; Christopher J. Stefan; Michael A. McMurray; Scott D. Emr; and Jeremy Thorner,Lindsay S. Garrenton,June 29; 2010 ,Cell Biology,56
Interference with Sin3 function induces epigenetic reprogramming and differentiation in breast cancer cells,Eduardo F. Farias; Kevin Petrie; Boris Leibovitch; Janice Murtagh; Manuel Boix Chornet; Tino Schenk; Arthur Zelent; and Samuel Waxman,Eduardo F. Farias,June 29; 2010 ,Cell Biology,29
The ubiquitin ligase Fbxw7 controls adipocyte differentiation by targeting C/EBPα for degradation,Maria T. Bengoechea-Alonso and Johan Ericsson,Maria T. Bengoechea-Alonso,June 29; 2010 ,Cell Biology,33
