,Unnamed: 0,title,authors,firstAuthor,date,category,citationNumber,hIndex,impact,eid,authorEid,genders,gendersProbability
549,549,The complete influenza hemagglutinin fusion domain adopts a tight helical hairpin arrangement at the lipid:water interface,Justin L. Lorieau; John M. Louis; and Ad Bax,Justin L. Lorieau,June 22; 2010 ,Biophysics and Computational Biology,97.0,13,"(107, 2, 53.5)",2-s2.0-77954947285,12773126200.0,male,"{'male': 1.0, 'female': 0.0}"
550,550,Structure of the full-length Shaker potassium channel Kv1.2 by normal-mode-based X-ray crystallographic refinement,Xiaorui Chen; Qinghua Wang; Fengyun Ni; and Jianpeng Ma,Xiaorui Chen,June 22; 2010 ,Biophysics and Computational Biology,123.0,7,"(13, 1, 13.0)",2-s2.0-77954895219,55747713300.0,unknown,"{'male': 3.9094979342735314e-07, 'female': 0.9999996090502066}"
551,551,Force-dependent polymorphism in type IV pili reveals hidden epitopes,Nicolas Biais; Dustin L. Higashi; Jasna Brujić; Magdalene So; and Michael P. Sheetz,Nicolas Biais,June 22; 2010 ,Biophysics and Computational Biology,56.0,17,"(180, 5, 36.0)",2-s2.0-77954907406,15070525700.0,male,"{'male': 1.0, 'female': 0.0}"
552,552,Denatured states of low-complexity polypeptide sequences differ dramatically from those of foldable sequences,Franco O. Tzul and Bruce E. Bowler,Franco O. Tzul,June 22; 2010 ,Biophysics and Computational Biology,12.0,6,"(23, 3, 7.666666666666667)",2-s2.0-77954942428,17343082400.0,male,"{'male': 1.0, 'female': 0.0}"
553,553,Signal-dependent turnover of the bacterial flagellar switch protein FliM,Nicolas J. Delalez; George H. Wadhams; Gabriel Rosser; Quan Xue; Mostyn T. Brown; Ian M. Dobbie; Richard M. Berry; Mark C. Leake; and Judith P. Armitage,Nicolas J. Delalez,June 22; 2010 ,Biophysics and Computational Biology,90.0,11,"(15, 2, 7.5)",2-s2.0-77954921897,12546132800.0,male,"{'male': 1.0, 'female': 0.0}"
554,554,Quantitative 3D imaging of whole; unstained cells by using X-ray diffraction microscopy,Huaidong Jiang; Changyong Song; Chien-Chun Chen; Rui Xu; Kevin S. Raines; Benjamin P. Fahimian; Chien-Hung Lu; Ting-Kuo Lee; Akio Nakashima; Jun Urano; Tetsuya Ishikawa; Fuyuhiko Tamanoi; and Jianwei Miao,Huaidong Jiang,June 22; 2010 ,Biophysics and Computational Biology,141.0,29,"(228, 4, 57.0)",2-s2.0-77954922551,7404465587.0,unknown,"{'male': 0.9986268281936646, 'female': 0.0013731718063354492}"
555,555,Fidelity of adaptive phototaxis,Knut Drescher; Raymond E. Goldstein; and Idan Tuval,Knut Drescher,June 22; 2010 ,Biophysics and Computational Biology,40.0,18,"(382, 3, 127.33333333333333)",2-s2.0-77954928077,26025964600.0,male,"{'male': 1.0, 'female': 0.0}"
556,556,Cα-trace model of the transmembrane domain of human copper transporter 1; motion and functional implications,Maya Schushan; Yariv Barkan; Turkan Haliloglu; and Nir Ben-Tal,Maya Schushan,June 15; 2010 ,Biophysics and Computational Biology,28.0,-1,0,0,0.0,female,"{'male': 0.0015321128303185105, 'female': 0.9984678871696815}"
557,557,Protein folded states are kinetic hubs,Gregory R. Bowman and Vijay S. Pande,Gregory R. Bowman,June 15; 2010 ,Biophysics and Computational Biology,148.0,27,"(678, 9, 75.33333333333333)",2-s2.0-78049268968,24334008700.0,male,"{'male': 1.0, 'female': 0.0}"
558,558,Protein interface conservation across structure space,Qiangfeng Cliff Zhang; Donald Petrey; Raquel Norel; and Barry H. Honig,Qiangfeng Cliff Zhang,June 15; 2010 ,Biophysics and Computational Biology,96.0,9,"(0, 0, 0)",2-s2.0-77954636479,36505487700.0,unknown,"{'male': 0.9573746919631958, 'female': 0.0426253080368042}"
559,559,Membrane domain structures of three classes of histidine kinase receptors by cell-free expression and rapid NMR analysis,Innokentiy Maslennikov; Christian Klammt; Eunha Hwang; Georgia Kefala; Mizuki Okamura; Luis Esquivies; Karsten Mörs; Clemens Glaubitz; Witek Kwiatkowski; Young Ho Jeon; and Senyon Choe,Innokentiy Maslennikov,June 15; 2010 ,Biophysics and Computational Biology,68.0,19,"(11, 2, 5.5)",2-s2.0-77954633619,55402182800.0,unknown,"{'male': 0.9999392032623291, 'female': 6.079673767089844e-05}"
560,560,Process-based network decomposition reveals backbone motif structure,Guanyu Wang; Chenghang Du; Hao Chen; Rahul Simha; Yongwu Rong; Yi Xiao; and Chen Zeng,Guanyu Wang,June 8; 2010 ,Biophysics and Computational Biology,30.0,11,"(0, 0, 0)",2-s2.0-77953783859,7407149382.0,unknown,"{'male': 0.9934402108192444, 'female': 0.006559789180755615}"
561,561,Regulation of a heterodimeric kinesin-2 through an unprocessive motor domain that is turned processive by its partner,Melanie Brunnbauer; Felix Mueller-Planitz; Süleyman Kösem; Thi Hieu Ho; Renate Dombi; J. Christof M. Gebhardt; Matthias Rief; and Zeynep Ökten,Melanie Brunnbauer,June 8; 2010 ,Biophysics and Computational Biology,30.0,2,"(0, 0, 0)",2-s2.0-77953762901,36440992900.0,female,"{'male': 4.837816618419311e-07, 'female': 0.9999995162183382}"
562,562,Stabilizing capping motif for β-hairpins and sheets,Brandon L. Kier; Irene Shu; Lisa A. Eidenschink; and Niels H. Andersen,Brandon L. Kier,June 8; 2010 ,Biophysics and Computational Biology,55.0,8,"(85, 4, 21.25)",2-s2.0-77953747160,25637542700.0,male,"{'male': 1.0, 'female': 0.0}"
563,563,Exploiting the determinants of stochastic gene expression in Saccharomyces cerevisiae for genome-wide prediction of expression noise,Jingjing Li; Renqiang Min; Franco J. Vizeacoumar; Ke Jin; Xiaofeng Xin; and Zhaolei Zhang,Jingjing Li,June 8; 2010 ,Biophysics and Computational Biology,22.0,26,"(77, 4, 19.25)",2-s2.0-77953797905,56076474000.0,unknown,"{'male': 0.9409775733947754, 'female': 0.05902242660522461}"
564,564,Multiscale modeling of diffusion in the early Drosophila embryo,Christine Sample and Stanislav Y. Shvartsman,Christine Sample,June 1; 2010 ,Biophysics and Computational Biology,26.0,6,"(0, 0, 0)",2-s2.0-77953401066,36337127900.0,female,"{'male': 0.00024076842237263918, 'female': 0.9997592315776274}"
565,565,Near-isotropic 3D optical nanoscopy with photon-limited chromophores,Jianyong Tang; Jasper Akerboom; Alipasha Vaziri; Loren L. Looger; and Charles V. Shank,Jianyong Tang,June 1; 2010 ,Biophysics and Computational Biology,46.0,9,"(137, 3, 45.666666666666664)",2-s2.0-77953405697,55776874000.0,unknown,"{'male': 0.6536632776260376, 'female': 0.3463367223739624}"
566,566,Temperature dependence of protein motions in a thermophilic dihydrofolate reductase and its relationship to catalytic efficiency,Olayinka A. Oyeyemi; Kevin M. Sours; Thomas Lee; Katheryn A. Resing; Natalie G. Ahn; and Judith P. Klinman,Olayinka A. Oyeyemi,June 1; 2010 ,Biophysics and Computational Biology,26.0,4,"(0, 0, 0)",2-s2.0-77953386194,6506090207.0,unknown,"{'male': 1.0, 'female': 0.0}"
567,567,The structural and energetic basis for high selectivity in a high-affinity protein-protein interaction,Nicola A. G. Meenan; Amit Sharma; Sarel J. Fleishman; Colin J. MacDonald; Bertrand Morel; Ruth Boetzel; Geoffrey R. Moore; David Baker; and Colin Kleanthous,Nicola A. G. Meenan,June 1; 2010 ,Biophysics and Computational Biology,75.0,10,"(117, 3, 39.0)",2-s2.0-77953411220,24169326500.0,female,"{'male': 1.0, 'female': 0.0}"
568,568,Processivity of peptidoglycan synthesis provides a built-in mechanism for the robustness of straight-rod cell morphology,Oleksii Sliusarenko; Matthew T. Cabeen; Charles W. Wolgemuth; Christine Jacobs-Wagner; and Thierry Emonet,Oleksii Sliusarenko,June 1; 2010 ,Biophysics and Computational Biology,25.0,10,"(43, 1, 43.0)",2-s2.0-77953377292,56447173200.0,male,"{'male': 0.0005020990502089262, 'female': 0.9994979009497911}"
569,569,Biological imaging with 4D ultrafast electron microscopy,David J. Flannigan; Brett Barwick; and Ahmed H. Zewail,David J. Flannigan,June 1; 2010 ,Biophysics and Computational Biology,52.0,17,"(252, 2, 126.0)",2-s2.0-77953405120,8945723500.0,male,"{'male': 1.0, 'female': 0.0}"
570,570,Independent filtering increases detection power for high-throughput experiments,Richard Bourgon; Robert Gentleman; and Wolfgang Huber,Richard Bourgon,May 25; 2010 ,Biophysics and Computational Biology,257.0,24,"(678, 5, 135.6)",2-s2.0-77953095629,6505764442.0,male,"{'male': 1.0, 'female': 0.0}"
571,571,Function of human Rh based on structure of RhCG at 2.1 Å,Franz Gruswitz; Sarika Chaudhary; Joseph D. Ho; Avner Schlessinger; Bobak Pezeshki; Chi-Min Ho; Andrej Sali; Connie M. Westhoff; and Robert M. Stroud,Franz Gruswitz,May 25; 2010 ,Biophysics and Computational Biology,110.0,8,"(280, 3, 93.33333333333333)",2-s2.0-77953097228,25649719300.0,male,"{'male': 1.0, 'female': 0.0}"
572,572,Structural investigation of the C-terminal catalytic fragment of presenilin 1,Solmaz Sobhanifar; Birgit Schneider; Frank Löhr; Daniel Gottstein; Teppei Ikeya; Krzysztof Mlynarczyk; Wojciech Pulawski; Umesh Ghoshdastider; Michal Kolinski; Slawomir Filipek; Peter Güntert; Frank Bernhard; and Volker Dötsch,Solmaz Sobhanifar,May 25; 2010 ,Biophysics and Computational Biology,61.0,9,"(27, 1, 27.0)",2-s2.0-77953113485,23502313600.0,female,"{'male': 0.00039734566234983504, 'female': 0.9996026543376502}"
573,573,Engineering of an alternative electron transfer path in photosystem II,Shirley Larom; Faris Salama; Gadi Schuster; and Noam Adir,Shirley Larom,May 25; 2010 ,Biophysics and Computational Biology,28.0,4,"(0, 0, 0)",2-s2.0-77953112132,36196789900.0,female,"{'male': 0.0002540963178034872, 'female': 0.9997459036821965}"
574,574,Simulation of cell motility that reproduces the force–velocity relationship,Christian H. Schreiber; Murray Stewart; and Thomas Duke,Christian H. Schreiber,May 18; 2010 ,Biophysics and Computational Biology,46.0,1,"(0, 0, 0)",2-s2.0-77952730351,36244564000.0,male,"{'male': 0.9925512075424194, 'female': 0.007448792457580566}"
575,575,Quantitative determination of ion distributions in bacterial lipopolysaccharide membranes by grazing-incidence X-ray fluorescence,Emanuel Schneck; Thomas Schubert; Oleg V. Konovalov; Bonnie E. Quinn; Thomas Gutsmann; Klaus Brandenburg; Rafael G. Oliveira; David A. Pink; and Motomu Tanaka,Emanuel Schneck,May 18; 2010 ,Biophysics and Computational Biology,42.0,16,"(139, 8, 17.375)",2-s2.0-77952691739,24741226900.0,male,"{'male': 0.9999710321426392, 'female': 2.8967857360839844e-05}"
576,576,Protein dynamics investigated by inherent structure analysis,Francesco Rao and Martin Karplus,Francesco Rao,May 18; 2010 ,Biophysics and Computational Biology,42.0,18,"(62, 3, 20.666666666666668)",2-s2.0-77952738461,6701746861.0,male,"{'male': 1.0, 'female': 0.0}"
577,577,Using deep sequencing to characterize the biophysical mechanism of a transcriptional regulatory sequence,Justin B. Kinney; Anand Murugan; Curtis G. Callan Jr.; and Edward C. Cox,Justin B. Kinney,May 18; 2010 ,Biophysics and Computational Biology,94.0,12,"(63, 1, 63.0)",2-s2.0-77952706498,18536233900.0,male,"{'male': 1.0, 'female': 0.0}"
578,578,Direct structural insight into the substrate-shuttling mechanism of yeast fatty acid synthase by electron cryomicroscopy,Preeti Gipson; Deryck J. Mills; Remco Wouts; Martin Grininger; Janet Vonck; and Werner Kühlbrandt,Preeti Gipson,May 18; 2010 ,Biophysics and Computational Biology,24.0,3,"(0, 0, 0)",2-s2.0-77952719956,57112020300.0,female,"{'male': 9.641431825002655e-05, 'female': 0.99990358568175}"
579,579,Proton-transfer and hydrogen-bond interactions determine fluorescence quantum yield and photochemical efficiency of bacteriophytochrome,K. C. Toh; Emina A. Stojković; Ivo H. M. van Stokkum; Keith Moffat; and John T. M. Kennis,K. C. Toh,May 18; 2010 ,Biophysics and Computational Biology,71.0,6,"(54, 1, 54.0)",2-s2.0-77952688009,7103138853.0,unknown,"{'male': 0.9999996423721313, 'female': 3.5762786865234375e-07}"
580,580,Structure of the EF-hand domain of polycystin-2 suggests a mechanism for Ca2+-dependent regulation of polycystin-2 channel activity,Edward T. Petri; Andjelka Ćelić; Scott D. Kennedy; Barbara E. Ehrlich; Titus J. Boggon; and Michael E. Hodsdon,Edward T. Petri,May 18; 2010 ,Biophysics and Computational Biology,40.0,11,"(283, 5, 56.6)",2-s2.0-77952717195,7004405323.0,male,"{'male': 1.0, 'female': 0.0}"
581,581,Actin-like cytoskeleton filaments contribute to cell mechanics in bacteria,Siyuan Wang; Hugo Arellano-Santoyo; Peter A. Combs; and Joshua W. Shaevitz,Siyuan Wang,May 18; 2010 ,Biophysics and Computational Biology,72.0,5,"(0, 0, 0)",2-s2.0-77952727936,35977136200.0,unknown,"{'male': 0.9040558934211731, 'female': 0.0959441065788269}"
582,582,Comparing genomes to computer operating systems in terms of the topology and evolution of their regulatory control networks,Koon-Kiu Yan; Gang Fang; Nitin Bhardwaj; Roger P. Alexander; and Mark Gerstein,Koon-Kiu Yan,May 18; 2010 ,Biophysics and Computational Biology,40.0,15,"(4, 1, 4.0)",2-s2.0-77952691738,36864205000.0,unknown,"{'male': 0.9507178664207458, 'female': 0.04928213357925415}"
583,583,Real-time multidimensional NMR follows RNA folding with second resolution,Mi-Kyung Lee; Maayan Gal; Lucio Frydman; and Gabriele Varani,Mi-Kyung Lee,May 18; 2010 ,Biophysics and Computational Biology,73.0,6,"(0, 0, 0)",2-s2.0-77952700860,57203337067.0,female,"{'male': 0.35574066638946533, 'female': 0.6442593336105347}"
584,584,Insights into protein folding mechanisms from large scale analysis of mutational effects,Athi N. Naganathan and Victor Muñoz,Athi N. Naganathan,May 11; 2010 ,Biophysics and Computational Biology,67.0,18,"(137, 4, 34.25)",2-s2.0-77952730001,6504519433.0,unknown,"{'male': 0.9999920129776001, 'female': 7.987022399902344e-06}"
585,585,Structural study of TcaR and its complexes with multiple antibiotics from Staphylococcus epidermidis,Yu-Ming Chang; Wen-Yih Jeng; Tzu-Ping Ko; Yao-Jen Yeh; Cammy K.-M. Chen; and Andrew H.-J. Wang,Yu-Ming Chang,May 11; 2010 ,Biophysics and Computational Biology,39.0,6,"(0, 0, 0)",2-s2.0-77952676836,57013651000.0,andy,"{'male': 0.23995785415172577, 'female': 0.7600421458482742}"
586,586,Global characteristics of protein sequences and their implications,S. Rackovsky,S. Rackovsky,May 11; 2010 ,Biophysics and Computational Biology,10.0,26,"(36, 2, 18.0)",2-s2.0-77952677189,7003973319.0,unknown,"{'male': 1.0, 'female': 0.0}"
587,587,Costs and constraints from time-delayed feedback in small gene regulatory motifs,Andreas Grönlund; Per Lötstedt; and Johan Elf,Andreas Grönlund,May 4; 2010 ,Biophysics and Computational Biology,12.0,10,"(76, 4, 19.0)",2-s2.0-77952376060,8507306700.0,male,"{'male': 0.9999814033508301, 'female': 1.8596649169921875e-05}"
588,588,Semiautomated model building for RNA crystallography using a directed rotameric approach,Kevin S. Keating and Anna Marie Pyle,Kevin S. Keating,May 4; 2010 ,Biophysics and Computational Biology,35.0,13,"(653, 7, 93.28571428571429)",2-s2.0-77952352777,35361856800.0,male,"{'male': 1.0, 'female': 0.0}"
589,589,Net charge per residue modulates conformational ensembles of intrinsically disordered proteins,Albert H. Mao; Scott L. Crick; Andreas Vitalis; Caitlin L. Chicoine; and Rohit V. Pappu,Albert H. Mao,May 4; 2010 ,Biophysics and Computational Biology,226.0,6,"(142, 1, 142.0)",2-s2.0-77952335311,24344893200.0,male,"{'male': 1.0, 'female': 0.0}"
590,590,Experimental detection of knotted conformations in denatured proteins,Anna L. Mallam; Joseph M. Rogers; and Sophie E. Jackson,Anna L. Mallam,May 4; 2010 ,Biophysics and Computational Biology,64.0,13,"(163, 5, 32.6)",2-s2.0-77952415889,6506743630.0,female,"{'male': 2.071693779726047e-05, 'female': 0.9999792830622027}"
591,591,Potential and flux landscapes quantify the stability and robustness of budding yeast cell cycle network,Jin Wang; Chunhe Li; and Erkang Wang,Jin Wang,May 4; 2010 ,Biophysics and Computational Biology,46.0,43,"(839, 24, 34.958333333333336)",2-s2.0-77952334362,56169066800.0,female,"{'male': 0.8140347003936768, 'female': 0.18596529960632324}"
592,592,Phosphorylation-induced structural changes in smooth muscle myosin regulatory light chain,David Kast; L. Michel Espinoza-Fonseca; Christina Yi; and David D. Thomas,David Kast,May 4; 2010 ,Biophysics and Computational Biology,51.0,11,"(39, 1, 39.0)",2-s2.0-77952395653,21742361300.0,male,"{'male': 0.9999653100967407, 'female': 3.4689903259277344e-05}"
593,593,Understanding gastric forces calculated from high-resolution pill tracking,Bryan Laulicht; Anubhav Tripathi; Vincent Schlageter; Pavel Kucera; and Edith Mathiowitz,Bryan Laulicht,May 4; 2010 ,Biophysics and Computational Biology,18.0,6,"(29, 2, 14.5)",2-s2.0-77952388555,14619453100.0,male,"{'male': 1.0, 'female': 0.0}"
594,594,Coupling a sensory hair-cell bundle to cyber clones enhances nonlinear amplification,Jérémie Barral; Kai Dierkes; Benjamin Lindner; Frank Jülicher; and Pascal Martin,Jérémie Barral,May 4; 2010 ,Biophysics and Computational Biology,28.0,7,"(0, 0, 0)",2-s2.0-77953816914,35080015400.0,male,"{'male': 0.9999918937683105, 'female': 8.106231689453125e-06}"
595,595,Bovine cytochrome c oxidase structures enable O2 reduction with minimization of reactive oxygens and provide a proton-pumping gate,Kazumasa Muramoto; Kazuhiro Ohta; Kyoko Shinzawa-Itoh; Katsumasa Kanda; Maki Taniguchi; Hiroyuki Nabekura; Eiki Yamashita; Tomitake Tsukihara; and Shinya Yoshikawa,Kazumasa Muramoto,April 27; 2010 ,Biophysics and Computational Biology,75.0,13,"(86, 1, 86.0)",2-s2.0-77952331283,7102029371.0,male,"{'male': 0.9961355924606323, 'female': 0.0038644075393676758}"
596,596,Contribution of the myosin VI tail domain to processive stepping and intramolecular tension sensing,Alexander R. Dunn; Peiying Chuan; Zev Bryant; and James A. Spudich,Alexander R. Dunn,April 27; 2010 ,Biophysics and Computational Biology,29.0,25,"(80, 3, 26.666666666666668)",2-s2.0-77952393147,7201720426.0,male,"{'male': 1.0, 'female': 0.0}"
597,597,Experimental snapshots of a protein-DNA binding landscape,Ignacio E. Sánchez; Diego U. Ferreiro; Mariano Dellarole; and Gonzalo de Prat-Gay,Ignacio E. Sánchez,April 27; 2010 ,Biophysics and Computational Biology,18.0,17,"(124, 7, 17.714285714285715)",2-s2.0-77952411550,7103004725.0,male,"{'male': 1.0, 'female': 0.0}"
598,598,A mechanical model of actin stress fiber formation and substrate elasticity sensing in adherent cells,Sam Walcott and Sean X. Sun,Sam Walcott,April 27; 2010 ,Biophysics and Computational Biology,115.0,13,"(119, 5, 23.8)",2-s2.0-77952355776,24729488000.0,mostly_male,"{'male': 0.9999815225601196, 'female': 1.8477439880371094e-05}"
599,599,Probing myosin structural conformation in vivo by second-harmonic generation microscopy,V. Nucciotti; C. Stringari; L. Sacconi; F. Vanzi; L. Fusi; M. Linari; G. Piazzesi; V. Lombardi; and F. S. Pavone,V. Nucciotti,April 27; 2010 ,Biophysics and Computational Biology,73.0,2,"(0, 0, 0)",2-s2.0-77952411548,14421593300.0,unknown,"{'male': 0.9999790191650391, 'female': 2.09808349609375e-05}"
600,600,Unidirectional Brownian motion observed in an in silico single molecule experiment of an actomyosin motor,Mitsunori Takano; Tomoki P. Terada; and Masaki Sasai,Mitsunori Takano,April 27; 2010 ,Biophysics and Computational Biology,33.0,11,"(24, 2, 12.0)",2-s2.0-77952373083,24802504500.0,male,"{'male': 0.0003319422248750925, 'female': 0.9996680577751249}"
601,601,Entropic mechanism of large fluctuation in allosteric transition,Kazuhito Itoh and Masaki Sasai,Kazuhito Itoh,April 27; 2010 ,Biophysics and Computational Biology,40.0,10,"(31, 2, 15.5)",2-s2.0-77952337788,7404897247.0,male,"{'male': 1.0, 'female': 0.0}"
602,602,Steric confinement of proteins on lipid membranes can drive curvature and tubulation,Jeanne C. Stachowiak; Carl C. Hayden; and Darryl Y. Sasaki,Jeanne C. Stachowiak,April 27; 2010 ,Biophysics and Computational Biology,84.0,16,"(390, 4, 97.5)",2-s2.0-77952371099,8582968600.0,female,"{'male': 1.7581169231561944e-06, 'female': 0.9999982418830768}"
603,603,Evolution-guided discovery and recoding of allosteric pathway specificity determinants in psychoactive bioamine receptors,Gustavo J. Rodriguez; Rong Yao; Olivier Lichtarge; and Theodore G. Wensel,Gustavo J. Rodriguez,April 27; 2010 ,Biophysics and Computational Biology,56.0,3,"(0, 0, 0)",2-s2.0-77952746886,55438913600.0,male,"{'male': 1.0, 'female': 0.0}"
604,604,Foldable structures and the natural design of pollen grains,Eleni Katifori; Silas Alben; Enrique Cerda; David R. Nelson; and Jacques Dumais,Eleni Katifori,April 27; 2010 ,Biophysics and Computational Biology,114.0,8,0,2-s2.0-77952376718,22950561300.0,female,"{'male': 4.405883828439983e-06, 'female': 0.9999955941161716}"
605,605,Protein structural dynamics in solution unveiled via 100-ps time-resolved x-ray scattering,Hyun Sun Cho; Naranbaatar Dashdorj; Friedrich Schotte; Timothy Graber; Robert Henning; and Philip Anfinrud,Hyun Sun Cho,April 20; 2010 ,Biophysics and Computational Biology,89.0,1,"(0, 0, 0)",2-s2.0-77952182778,36171632400.0,andy,"{'male': 0.9994425177574158, 'female': 0.0005574822425842285}"
606,606,Metamorphic proteins mediate evolutionary transitions of structure,Itamar Yadid; Noam Kirshenbaum; Michal Sharon; Orly Dym; and Dan S. Tawfik,Itamar Yadid,April 20; 2010 ,Biophysics and Computational Biology,43.0,6,"(0, 0, 0)",2-s2.0-77952163331,15077581700.0,male,"{'male': 1.0, 'female': 0.0}"
607,607,Structural and functional analysis of the YAP-binding domain of human TEAD2,Wei Tian; Jianzhong Yu; Diana R. Tomchick; Duojia Pan; and Xuelian Luo,Wei Tian,April 20; 2010 ,Biophysics and Computational Biology,63.0,4,"(0, 0, 0)",2-s2.0-77952116604,57199662997.0,andy,"{'male': 0.9998518228530884, 'female': 0.0001481771469116211}"
608,608,Actin filament remodeling by actin depolymerization factor/cofilin,Jim Pfaendtner; Enrique M. De La Cruz; and Gregory A. Voth,Jim Pfaendtner,April 20; 2010 ,Biophysics and Computational Biology,51.0,23,"(422, 8, 52.75)",2-s2.0-77952123773,8924119700.0,male,"{'male': 1.0, 'female': 0.0}"
609,609,Three-dimensional distribution of transient interactions in the nuclear pore complex obtained from single-molecule snapshots,Jiong Ma and Weidong Yang,Jiong Ma,April 20; 2010 ,Biophysics and Computational Biology,63.0,11,"(165, 3, 55.0)",2-s2.0-77952212806,12646558400.0,andy,"{'male': 0.999805748462677, 'female': 0.00019425153732299805}"
610,610,Dynamic sorting of lipids and proteins in membrane tubes with a moving phase boundary,Michael Heinrich; Aiwei Tian; Cinzia Esposito; and Tobias Baumgart,Michael Heinrich,April 20; 2010 ,Biophysics and Computational Biology,70.0,3,"(26, 1, 26.0)",2-s2.0-77952132277,24528307400.0,male,"{'male': 0.9999310970306396, 'female': 6.890296936035156e-05}"
611,611,Bayesian approach to transforming public gene expression repositories into disease diagnosis databases,Haiyan Huang; Chun-Chi Liu; and Xianghong Jasmine Zhou,Haiyan Huang,April 13; 2010 ,Biophysics and Computational Biology,35.0,33,"(718, 51, 14.07843137254902)",2-s2.0-77951082777,8791625600.0,unknown,"{'male': 0.07365216314792633, 'female': 0.9263478368520737}"
612,612,Fast molecular tracking maps nanoscale dynamics of plasma membrane lipids,Steffen J. Sahl; Marcel Leutenegger; Michael Hilbert; Stefan W. Hell; and Christian Eggeling,Steffen J. Sahl,April 13; 2010 ,Biophysics and Computational Biology,118.0,19,"(0, 0, 0)",2-s2.0-77951082775,36128908700.0,male,"{'male': 1.0, 'female': 0.0}"
613,613,Cyclopentenone prostaglandin-induced unfolding and aggregation of the Parkinson disease-associated UCH-L1,Leonardus M. I. Koharudin; Hao Liu; Roberto Di Maio; Ravindra B. Kodali; Steven H. Graham; and Angela M. Gronenborn,Leonardus M. I. Koharudin,April 13; 2010 ,Biophysics and Computational Biology,44.0,15,"(87, 4, 21.75)",2-s2.0-77951069130,6507580494.0,male,"{'male': 1.0, 'female': 0.0}"
614,614,Analysis of diverse regulatory networks in a hierarchical context shows consistent tendencies for collaboration in the middle levels,Nitin Bhardwaj; Koon-Kiu Yan; and Mark B. Gerstein,Nitin Bhardwaj,April 13; 2010 ,Biophysics and Computational Biology,45.0,22,"(164, 5, 32.8)",2-s2.0-77951044336,10046658400.0,unknown,"{'male': 0.9999866485595703, 'female': 1.33514404296875e-05}"
615,615,Protein folding at the membrane interface; the structure of Nogo-66 requires interactions with a phosphocholine surface,Sheeja V. Vasudevan; Jessica Schulz; Chunyi Zhou; and Melanie J. Cocco,Sheeja V. Vasudevan,April 13; 2010 ,Biophysics and Computational Biology,17.0,3,"(3, 1, 3.0)",2-s2.0-77951066645,57197115039.0,unknown,"{'male': 0.00011352586443535984, 'female': 0.9998864741355646}"
616,616,Structure of lactococcal phage p2 baseplate and its mechanism of activation,Giuliano Sciara; Cecilia Bebeacua; Patrick Bron; Denise Tremblay; Miguel Ortiz-Lombardia; Julie Lichière; Marin van Heel; Valérie Campanacci; Sylvain Moineau; and Christian Cambillau,Giuliano Sciara,April 13; 2010 ,Biophysics and Computational Biology,85.0,14,"(206, 8, 25.75)",2-s2.0-77951089914,6507848854.0,male,"{'male': 0.9999446868896484, 'female': 5.53131103515625e-05}"
617,617,Exploring the within- and between-class correlation distributions for tumor classification,Xuelian Wei and Ker-Chau Li,Xuelian Wei,April 13; 2010 ,Biophysics and Computational Biology,13.0,2,"(0, 0, 0)",2-s2.0-77951067219,24170407100.0,unknown,"{'male': 0.05729741230607033, 'female': 0.9427025876939297}"
618,618,Genomic arrangement of bacterial operons is constrained by biological pathways encoded in the genome,Yanbin Yin; Han Zhang; Victor Olman; and Ying Xu,Yanbin Yin,April 6; 2010 ,Biophysics and Computational Biology,21.0,22,"(242, 5, 48.4)",2-s2.0-77950912269,33368412800.0,unknown,"{'male': 0.9990708827972412, 'female': 0.0009291172027587891}"
619,619,Mapping amorphous calcium phosphate transformation into crystalline mineral from the cell to the bone in zebrafish fin rays,Julia Mahamid; Barbara Aichmayer; Eyal Shimoni; Roy Ziblat; Chenghao Li; Stefan Siegel; Oskar Paris; Peter Fratzl; Steve Weiner; and Lia Addadi,Julia Mahamid,April 6; 2010 ,Biophysics and Computational Biology,209.0,17,"(341, 2, 170.5)",2-s2.0-77950911460,23012631700.0,female,"{'male': 0.998219907283783, 'female': 0.001780092716217041}"
620,620,Neurons sense nanoscale roughness with nanometer sensitivity,V. Brunetti; G. Maiorano; L. Rizzello; B. Sorce; S. Sabella; R. Cingolani; and P. P. Pompa,V. Brunetti,April 6; 2010 ,Biophysics and Computational Biology,131.0,18,"(5, 1, 5.0)",2-s2.0-77950870189,26967579900.0,unknown,"{'male': 1.0, 'female': 0.0}"
621,621,Out-of-equilibrium conformational cycling of GroEL under saturating ATP concentrations,Gabriel A. Frank; Mila Goomanovsky; Amit Davidi; Guy Ziv; Amnon Horovitz; and Gilad Haran,Gabriel A. Frank,April 6; 2010 ,Biophysics and Computational Biology,19.0,8,"(8, 1, 8.0)",2-s2.0-77950890438,24474279800.0,male,"{'male': 1.0, 'female': 0.0}"
622,622,One-microsecond molecular dynamics simulation of channel gating in a nicotinic receptor homologue,Hugues Nury; Frédéric Poitevin; Catherine Van Renterghem; Jean-Pierre Changeux; Pierre-Jean Corringer; Marc Delarue; and Marc Baaden,Hugues Nury,April 6; 2010 ,Biophysics and Computational Biology,109.0,13,"(556, 3, 185.33333333333334)",2-s2.0-77950868175,35435758300.0,male,"{'male': 0.9999998807907104, 'female': 1.1920928955078125e-07}"
